state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
alabama,2018,1.04,0.26,0.69,1.99,246.51851851851856,51.5968992248062,143.2603406326034,424.53333333333336
alabama,2017,1.07,0.26,0.6699999999999999,1.99,253.62962962962965,51.5968992248062,139.10786699107868,424.53333333333336
alabama,2016,1.09,0.26,0.65,2.01,258.3703703703704,51.5968992248062,134.95539334955393,428.79999999999995
alabama,2015,1.11,0.26,0.64,2.01,263.11111111111114,51.5968992248062,132.87915652879158,428.79999999999995
alabama,2014,1.1300000000000001,0.25,0.62,2,267.8518518518519,49.61240310077519,128.72668288726683,426.6666666666667
alabama,2013,1.1400000000000001,0.25,0.6,1.99,270.22222222222223,49.61240310077519,124.5742092457421,424.53333333333336
alabama,2012,1.1600000000000001,0.24000000000000002,0.6,2,274.962962962963,47.62790697674419,124.5742092457421,426.6666666666667
alabama,2011,1.1600000000000001,0.24000000000000002,0.59,1.98,274.962962962963,47.62790697674419,122.49797242497972,422.40000000000003
alabama,2010,1.1700000000000002,0.23,0.58,1.98,277.33333333333337,45.64341085271318,120.42173560421736,422.40000000000003
alabama,2009,1.1900000000000002,0.22,0.5700000000000001,1.98,282.07407407407413,43.65891472868217,118.34549878345501,422.40000000000003
alabama,2008,1.22,0.22,0.5700000000000001,2.01,289.18518518518516,43.65891472868217,118.34549878345501,428.79999999999995
alabama,2007,1.23,0.22,0.55,2,291.5555555555556,43.65891472868217,114.19302514193026,426.6666666666667
alabama,2006,1.21,0.21000000000000002,0.54,1.95,286.81481481481484,41.674418604651166,112.1167883211679,416
alabama,2005,1.1800000000000002,0.2,0.53,1.91,279.70370370370375,39.689922480620154,110.04055150040553,407.46666666666664
alabama,2004,1.1900000000000002,0.2,0.52,1.91,282.07407407407413,39.689922480620154,107.96431467964315,407.46666666666664
alabama,2003,1.1900000000000002,0.19,0.52,1.9,282.07407407407413,37.70542635658914,107.96431467964315,405.3333333333333
alabama,2002,1.1800000000000002,0.21000000000000002,0.54,1.92,279.70370370370375,41.674418604651166,112.1167883211679,409.6
alabama,2001,1.1600000000000001,0.17,0.53,1.86,274.962962962963,33.736434108527135,110.04055150040553,396.8
alabama,2000,1.1900000000000002,0.18,0.51,1.8800000000000001,282.07407407407413,35.72093023255813,105.88807785888078,401.0666666666667
alabama,1999,1.1800000000000002,0.17,0.51,1.87,279.70370370370375,33.736434108527135,105.88807785888078,398.9333333333334
alabama,1998,1.1600000000000001,0.17,0.51,1.85,274.962962962963,33.736434108527135,105.88807785888078,394.6666666666667
